Target_ID,Gazebo_X,Gazebo_Y,Score
1,-1.414498254397252,1.9694506450240288,1.0
2,2.2369399923774735,-7.491357812399584,1.0
3,0.3812691827888028,12.005887726133746,0.36
4,-7.084302172098446,2.0979856026845596,1.0
5,-0.94211460832736,-13.209989197486175,0.14
6,8.36807391023588,5.209824942203502,0.13
7,9.035717413180258,-3.60192668445065,0.2
8,-3.5729849801848212,-16.301277226805418,0.31
9,11.687201852911379,12.596208056353538,0.28
10,-9.947772613203389,-22.276577972974074,0.27
11,-1.9528466180703599,15.659311174953492,0.74
12,-13.89330546883912,19.834870088221912,0.64
13,10.998459641930427,8.43602699371904,0.44
14,-15.340240257044178,10.391698249450833,0.53
15,-1.810211680432585,-28.37063253579003,0.58
16,-10.177013096261001,5.349574071888707,0.74
17,-15.337265332076253,-29.267779974459238,0.67
18,-16.47700603220897,24.061760102083824,0.78
19,-2.3028829667455852,20.15759785066983,0.71
20,-2.1607417380643206,-24.232689988444033,0.45
21,-14.501569205322381,-24.312557931435475,0.51
22,-10.356063755430899,9.419550614608099,0.6
23,-18.02348866590695,17.473204150022926,0.59
24,-16.614141441956477,28.238236900387395,0.73
25,-17.923806086278997,-0.9926866866850945,0.43
26,9.707106880518255,33.49766395835492,0.6
27,-3.724393603956335,34.31318575540486,0.67
28,19.444061542203418,30.150286217832363,0.54
29,-14.423240000130614,-33.54966368761003,0.71
30,4.978355222314259,33.709492935575156,0.78
31,-6.014895478307197,30.716418400142054,0.6
32,-20.610689759234823,3.838919980487662,0.68
33,-20.09326624012766,13.856016400268855,0.66
34,-18.440227154642844,-32.70543435320553,0.75
